time_s,pos,setpoint,error,p_term,i_term,d_term,pid_out,velocity,motor_pos,kp,ki,kd,deadband,lead_ms,lag_ms,integral_accum,ball_px_x,ball_px_y,ball_radius,auto,integral_on,leadlag_on
0.0508,0.9718,0.5000,0.4718,188.73,0.31,71487.11,8000.0,-24816.8,0.0,400.0,20.0,5000.0,0.0010,500,150,0.015570,621,242,23,0,1,1
0.1097,0.9718,0.5000,0.4718,188.73,0.87,0.00,189.6,2744.9,0.0,400.0,20.0,5000.0,0.0010,500,150,0.043386,621,242,23,0,1,1
0.1572,0.9718,0.5000,0.4718,188.73,1.32,0.00,190.0,2161.9,0.0,400.0,20.0,5000.0,0.0010,500,150,0.065825,621,242,23,0,1,1
0.1959,0.9721,0.5000,0.4721,188.85,1.68,39.01,229.5,1573.2,0.0,400.0,20.0,5000.0,0.0010,500,150,0.084106,622,242,23,0,1,1
0.2330,0.9718,0.5000,0.4718,188.73,2.03,-40.76,150.0,1462.7,0.0,400.0,20.0,5000.0,0.0010,500,150,0.101594,621,242,23,0,1,1
0.2665,0.9718,0.5000,0.4718,188.73,2.35,0.00,191.1,1015.6,0.0,400.0,20.0,5000.0,0.0010,500,150,0.117411,621,242,23,0,1,1
0.3018,0.9718,0.5000,0.4718,188.73,2.68,0.00,191.4,775.4,0.0,400.0,20.0,5000.0,0.0010,500,150,0.134026,621,242,23,0,1,1
0.3699,0.9718,0.5000,0.4718,188.73,3.32,0.00,192.0,581.8,0.0,400.0,20.0,5000.0,0.0010,500,150,0.166187,621,242,23,0,1,1
0.4335,0.9721,0.5000,0.4721,188.85,3.92,23.76,216.5,352.5,0.0,400.0,20.0,5000.0,0.0010,500,150,0.196207,622,242,23,0,1,1
0.5019,0.9718,0.5000,0.4718,188.73,4.57,-22.08,171.2,380.3,0.0,400.0,20.0,5000.0,0.0010,500,150,0.228486,621,242,23,0,1,1
0.5708,0.9718,0.5000,0.4718,188.73,5.22,0.00,193.9,200.5,0.0,400.0,20.0,5000.0,0.0010,500,150,0.260967,621,242,23,0,1,1
0.6339,0.9721,0.5000,0.4721,188.85,5.82,23.93,218.6,45.8,0.0,400.0,20.0,5000.0,0.0010,500,150,0.290766,622,242,23,0,1,1
0.7033,0.9718,0.5000,0.4718,188.73,6.47,-21.76,173.4,133.5,0.0,400.0,20.0,5000.0,0.0010,500,150,0.323515,621,242,23,0,1,1
0.7619,0.9718,0.5000,0.4718,188.73,7.02,0.00,195.7,3.5,0.0,400.0,20.0,5000.0,0.0010,500,150,0.351150,621,242,23,0,1,1
0.8300,0.9718,0.5000,0.4718,188.73,7.67,0.00,196.4,-38.0,0.0,400.0,20.0,5000.0,0.0010,500,150,0.383317,621,242,23,0,1,1
0.8976,0.9718,0.5000,0.4718,188.73,8.30,0.00,197.0,-71.4,0.0,400.0,20.0,5000.0,0.0010,500,150,0.415169,621,242,23,0,1,1
0.9609,0.9718,0.5000,0.4718,188.73,8.90,0.00,197.6,-98.1,0.0,400.0,20.0,5000.0,0.0010,500,150,0.445084,621,242,23,0,1,1
1.0296,0.9718,0.5000,0.4718,188.73,9.55,0.00,198.3,-119.9,0.0,400.0,20.0,5000.0,0.0010,500,150,0.477448,621,242,23,0,1,1
1.0949,0.9721,0.5000,0.4721,188.85,10.17,23.12,222.1,-209.4,0.0,400.0,20.0,5000.0,0.0010,500,150,0.508290,622,242,23,0,1,1
1.1617,0.9721,0.5000,0.4721,188.85,10.80,0.00,199.6,-142.2,0.0,400.0,20.0,5000.0,0.0010,500,150,0.539838,622,242,23,0,1,1
1.2265,0.9718,0.5000,0.4718,188.73,11.41,-23.30,176.8,-82.8,0.0,400.0,20.0,5000.0,0.0010,500,150,0.570424,621,242,23,0,1,1
1.2958,0.9721,0.5000,0.4721,188.85,12.06,21.80,222.7,-243.7,0.0,400.0,20.0,5000.0,0.0010,500,150,0.603145,622,242,23,0,1,1
1.3611,0.9718,0.5000,0.4718,188.73,12.68,-23.15,178.3,-101.7,0.0,400.0,20.0,5000.0,0.0010,500,150,0.633933,621,242,23,0,1,1
1.4248,0.9718,0.5000,0.4718,188.73,13.28,0.00,202.0,-190.5,0.0,400.0,20.0,5000.0,0.0010,500,150,0.663990,621,242,23,0,1,1
1.4935,0.9718,0.5000,0.4718,188.73,13.93,0.00,202.7,-194.8,0.0,400.0,20.0,5000.0,0.0010,500,150,0.696401,621,242,23,0,1,1
1.5588,0.9718,0.5000,0.4718,188.73,14.54,0.00,203.3,-198.3,0.0,400.0,20.0,5000.0,0.0010,500,150,0.727213,621,242,23,0,1,1
1.6271,0.9721,0.5000,0.4721,188.85,15.19,22.12,226.2,-270.3,0.0,400.0,20.0,5000.0,0.0010,500,150,0.759451,622,242,23,0,1,1
1.6951,0.9718,0.5000,0.4718,188.73,15.83,-22.20,182.4,-125.7,0.0,400.0,20.0,5000.0,0.0010,500,150,0.791559,621,242,23,0,1,1
1.7591,0.9718,0.5000,0.4718,188.73,16.44,0.00,205.2,-207.6,0.0,400.0,20.0,5000.0,0.0010,500,150,0.821750,621,242,23,0,1,1
1.8287,0.9718,0.5000,0.4718,188.73,17.09,0.00,205.8,-209.2,0.0,400.0,20.0,5000.0,0.0010,500,150,0.854610,621,242,23,0,1,1
1.8903,0.9718,0.5000,0.4718,188.73,17.67,0.00,206.4,-210.3,0.0,400.0,20.0,5000.0,0.0010,500,150,0.883666,621,242,23,0,1,1
1.9579,0.9721,0.5000,0.4721,188.85,18.31,22.36,229.5,-281.2,0.0,400.0,20.0,5000.0,0.0010,500,150,0.915566,622,242,23,0,1,1
2.0233,0.9721,0.5000,0.4721,188.85,18.93,0.00,207.8,-203.6,0.0,400.0,20.0,5000.0,0.0010,500,150,0.946413,622,242,23,0,1,1
2.0903,0.9720,0.5000,0.4720,188.81,0.31,71517.24,8000.0,-24816.8,-1663.4,400.0,20.0,5000.0,0.0010,500,150,0.015576,622,242,23,1,1,1
2.1579,0.9718,0.5000,0.4718,188.73,0.95,-14.72,175.0,2790.3,-1474.8,400.0,20.0,5000.0,0.0010,500,150,0.047434,621,242,23,1,1,1
2.2224,0.9713,0.5000,0.4713,188.53,1.56,-37.23,152.9,2271.2,-1328.3,400.0,20.0,5000.0,0.0010,500,150,0.077865,621,241,23,1,1,1
2.2901,0.9717,0.5000,0.4717,188.66,2.20,23.63,214.5,1599.5,-1219.9,400.0,20.0,5000.0,0.0010,500,150,0.109838,621,241,23,1,1,1
2.3584,0.9709,0.5000,0.4709,188.38,2.84,-52.30,138.9,1474.4,-1119.3,400.0,20.0,5000.0,0.0010,500,150,0.141953,621,241,23,1,1,1
2.4219,0.9698,0.5000,0.4698,187.93,3.44,-86.90,104.5,1261.5,-1039.1,400.0,20.0,5000.0,0.0010,500,150,0.171831,620,242,23,1,1,1
2.4909,0.9695,0.5000,0.4695,187.81,4.08,-22.12,169.8,788.2,-984.8,400.0,20.0,5000.0,0.0010,500,150,0.204188,620,243,23,1,1,1
2.5548,0.9678,0.5000,0.4678,187.11,4.68,-136.56,55.2,953.6,-923.9,400.0,20.0,5000.0,0.0010,500,150,0.234063,619,244,23,1,1,1
2.6220,0.9665,0.5000,0.4665,186.58,5.31,-98.61,93.3,635.7,-881.1,400.0,20.0,5000.0,0.0010,500,150,0.265462,618,245,23,1,1,1
2.6903,0.9648,0.5000,0.4648,185.94,5.94,-118.37,73.5,552.5,-843.4,400.0,20.0,5000.0,0.0010,500,150,0.297187,617,245,23,1,1,1
2.7548,0.9644,0.5000,0.4644,185.76,6.54,-34.99,157.3,168.5,-832.5,400.0,20.0,5000.0,0.0010,500,150,0.327141,617,246,23,1,1,1
2.8230,0.9635,0.5000,0.4635,185.41,7.18,-64.03,128.6,193.1,-819.3,400.0,20.0,5000.0,0.0010,500,150,0.358752,616,246,23,1,1,1
2.8871,0.9632,0.5000,0.4632,185.28,7.77,-24.95,168.1,6.7,-818.9,400.0,20.0,5000.0,0.0010,500,150,0.388442,616,246,24,1,1,1
2.9553,0.9626,0.5000,0.4626,185.05,8.40,-41.55,151.9,22.3,-817.4,400.0,20.0,5000.0,0.0010,500,150,0.419965,616,247,24,1,1,1
3.0231,0.9636,0.5000,0.4636,185.42,9.03,68.22,262.7,-355.8,-841.5,400.0,20.0,5000.0,0.0010,500,150,0.451432,616,246,23,1,1,1
3.0872,0.9636,0.5000,0.4636,185.43,9.62,1.35,196.4,-131.8,-850.0,400.0,20.0,5000.0,0.0010,500,150,0.481137,616,247,24,1,1,1
3.1556,0.9644,0.5000,0.4644,185.76,10.26,59.70,255.7,-328.6,-872.5,400.0,20.0,5000.0,0.0010,500,150,0.512874,617,247,23,1,1,1
3.2179,0.9650,0.5000,0.4650,185.99,10.84,47.34,244.2,-278.3,-889.8,400.0,20.0,5000.0,0.0010,500,150,0.541863,617,246,23,1,1,1
3.2864,0.9665,0.5000,0.4665,186.62,11.48,114.22,312.3,-483.0,-922.9,400.0,20.0,5000.0,0.0010,500,150,0.573839,618,246,23,1,1,1
3.3504,0.9675,0.5000,0.4675,186.98,12.08,71.19,270.3,-318.7,-943.3,400.0,20.0,5000.0,0.0010,500,150,0.603774,619,246,23,1,1,1
3.4183,0.9692,0.5000,0.4692,187.68,12.71,128.74,329.1,-491.7,-976.7,400.0,20.0,5000.0,0.0010,500,150,0.635614,620,246,23,1,1,1
3.4868,0.9702,0.5000,0.4702,188.09,13.36,73.72,275.2,-292.1,-996.7,400.0,20.0,5000.0,0.0010,500,150,0.667822,620,246,23,1,1,1
3.5508,0.9717,0.5000,0.4717,188.66,13.96,112.16,314.8,-411.6,-1023.0,400.0,20.0,5000.0,0.0010,500,150,0.698043,621,245,23,1,1,1
3.6184,0.9721,0.5000,0.4721,188.85,14.60,34.41,237.9,-153.8,-1033.4,400.0,20.0,5000.0,0.0010,500,150,0.729946,622,245,23,1,1,1
3.6827,0.9718,0.5000,0.4718,188.73,15.21,-23.72,180.2,8.4,-1032.9,400.0,20.0,5000.0,0.0010,500,150,0.760264,621,245,23,1,1,1
3.7508,0.9713,0.5000,0.4713,188.53,15.85,-35.29,169.1,5.5,-1032.5,400.0,20.0,5000.0,0.0010,500,150,0.792367,621,244,23,1,1,1
3.8185,0.9713,0.5000,0.4713,188.53,16.49,0.00,205.0,-140.6,-1042.0,400.0,20.0,5000.0,0.0010,500,150,0.824263,621,244,23,1,1,1
3.8833,0.9705,0.5000,0.4705,188.21,17.09,-62.67,142.6,40.2,-1039.4,400.0,20.0,5000.0,0.0010,500,150,0.854750,621,245,23,1,1,1
3.9494,0.9702,0.5000,0.4702,188.09,17.72,-23.04,182.8,-120.5,-1047.4,400.0,20.0,5000.0,0.0010,500,150,0.885861,620,245,23,1,1,1
4.0135,0.9698,0.5000,0.4698,187.93,18.32,-29.73,176.5,-113.5,-1054.7,400.0,20.0,5000.0,0.0010,500,150,0.915977,620,244,23,1,1,1
4.0808,0.9693,0.5000,0.4693,187.74,18.95,-36.81,169.9,-105.4,-1061.8,400.0,20.0,5000.0,0.0010,500,150,0.947562,620,244,23,1,1,1
4.1494,0.9685,0.5000,0.4685,187.38,19.59,-64.83,142.1,-32.1,-1064.0,400.0,20.0,5000.0,0.0010,500,150,0.979657,619,244,23,1,1,1
4.2135,0.9676,0.5000,0.4676,187.05,20.00,-64.58,142.5,-54.9,-1067.5,400.0,20.0,5000.0,0.0010,500,150,1.000000,619,244,23,1,1,1
4.2817,0.9669,0.5000,0.4669,186.77,20.00,-51.99,154.8,-110.5,-1075.0,400.0,20.0,5000.0,0.0010,500,150,1.000000,618,244,23,1,1,1
4.3455,0.9652,0.5000,0.4652,186.09,20.00,-132.25,73.8,131.8,-1066.6,400.0,20.0,5000.0,0.0010,500,150,1.000000,617,244,23,1,1,1
4.4135,0.9645,0.5000,0.4645,185.78,20.00,-56.22,149.6,-143.9,-1076.4,400.0,20.0,5000.0,0.0010,500,150,1.000000,617,244,24,1,1,1
4.4832,0.9639,0.5000,0.4639,185.54,20.00,-43.81,161.7,-182.7,-1089.2,400.0,20.0,5000.0,0.0010,500,150,1.000000,616,244,23,1,1,1
4.5460,0.9625,0.5000,0.4625,184.98,20.00,-111.49,93.5,33.1,-1087.1,400.0,20.0,5000.0,0.0010,500,150,1.000000,615,244,24,1,1,1
4.6137,0.9617,0.5000,0.4617,184.69,20.00,-54.01,150.7,-169.4,-1098.5,400.0,20.0,5000.0,0.0010,500,150,1.000000,615,244,24,1,1,1
4.6768,0.9612,0.5000,0.4612,184.49,20.00,-38.75,165.7,-212.4,-1111.9,400.0,20.0,5000.0,0.0010,500,150,1.000000,615,244,24,1,1,1
